algorithm,engine,N,repeat,TPS(tx/s),P99(ms),success_rate
Raft,raft,96,7,327.341603,1119.431000,0.443000
Raft,raft,96,8,347.337881,1225.029000,0.661000
Raft,raft,96,9,327.998671,1240.222000,0.559000
Raft,raft,96,10,358.528847,1185.380000,0.563000
CometBFT-light,cometbft-light,8,1,2898.591893,339.855000,1.000000
CometBFT-light,cometbft-light,8,2,3046.346197,325.255000,1.000000
CometBFT-light,cometbft-light,8,3,3090.658916,321.555000,1.000000
CometBFT-light,cometbft-light,8,4,3114.560383,315.496000,1.000000
CometBFT-light,cometbft-light,8,5,3003.176159,330.298000,1.000000
CometBFT-light,cometbft-light,8,6,2974.504039,334.265000,1.000000
CometBFT-light,cometbft-light,8,7,3028.716167,329.225000,1.000000
CometBFT-light,cometbft-light,8,8,3058.621229,324.263000,1.000000
CometBFT-light,cometbft-light,8,9,3052.374473,324.773000,1.000000
CometBFT-light,cometbft-light,8,10,3052.147155,308.239000,1.000000
CometBFT-light,cometbft-light,16,1,1740.183624,531.022000,1.000000
CometBFT-light,cometbft-light,16,2,1788.078700,556.564000,1.000000
CometBFT-light,cometbft-light,16,3,1741.643247,571.637000,1.000000
CometBFT-light,cometbft-light,16,4,1744.689775,569.542000,1.000000
CometBFT-light,cometbft-light,16,5,1757.450095,526.751000,1.000000
CometBFT-light,cometbft-light,16,6,1722.284693,577.558000,1.000000
CometBFT-light,cometbft-light,16,7,1630.765633,607.777000,1.000000
CometBFT-light,cometbft-light,16,8,1779.637776,559.365000,1.000000
CometBFT-light,cometbft-light,16,9,1751.522993,567.429000,1.000000
CometBFT-light,cometbft-light,16,10,1694.044975,587.210000,1.000000
CometBFT-light,cometbft-light,24,1,1116.805579,732.878000,1.000000
CometBFT-light,cometbft-light,24,2,1124.930001,884.930000,1.000000
CometBFT-light,cometbft-light,24,3,1100.359377,753.621000,1.000000
CometBFT-light,cometbft-light,24,4,1051.124709,872.077000,1.000000
CometBFT-light,cometbft-light,24,5,1122.907756,643.886000,1.000000
CometBFT-light,cometbft-light,24,6,1117.259015,893.318000,1.000000
CometBFT-light,cometbft-light,24,7,1086.283498,758.947000,1.000000
CometBFT-light,cometbft-light,24,8,1089.875968,729.014000,1.000000
CometBFT-light,cometbft-light,24,9,1059.973064,862.167000,1.000000
CometBFT-light,cometbft-light,24,10,1113.538005,893.162000,1.000000
CometBFT-light,cometbft-light,32,1,608.324606,865.015000,1.000000
CometBFT-light,cometbft-light,32,2,639.728182,907.655000,1.000000
CometBFT-light,cometbft-light,32,3,638.316682,721.404000,1.000000
CometBFT-light,cometbft-light,32,4,659.241498,1131.650000,1.000000
CometBFT-light,cometbft-light,32,5,585.984219,895.692000,1.000000
CometBFT-light,cometbft-light,32,6,664.030730,886.841000,1.000000
CometBFT-light,cometbft-light,32,7,638.778982,1077.785000,1.000000
CometBFT-light,cometbft-light,32,8,650.782752,792.609000,1.000000
CometBFT-light,cometbft-light,32,9,637.400954,995.887000,1.000000
CometBFT-light,cometbft-light,32,10,607.199676,891.535000,1.000000
CometBFT-light,cometbft-light,40,1,330.632682,957.629000,1.000000
CometBFT-light,cometbft-light,40,2,385.670758,1256.245000,1.000000
CometBFT-light,cometbft-light,40,3,318.996056,899.135000,1.000000
CometBFT-light,cometbft-light,40,4,354.166367,1190.932000,1.000000
CometBFT-light,cometbft-light,40,5,421.723109,983.338000,1.000000
CometBFT-light,cometbft-light,40,6,428.066451,1055.639000,1.000000
CometBFT-light,cometbft-light,40,7,428.839821,833.693000,1.000000
CometBFT-light,cometbft-light,40,8,434.314210,1272.979000,1.000000
CometBFT-light,cometbft-light,40,9,338.389825,1250.831000,1.000000
CometBFT-light,cometbft-light,40,10,386.769826,1310.094000,1.000000
CometBFT-light,cometbft-light,48,1,212.803601,1309.059000,1.000000
CometBFT-light,cometbft-light,48,2,244.223671,1244.692000,1.000000
CometBFT-light,cometbft-light,48,3,216.994619,1232.450000,1.000000
CometBFT-light,cometbft-light,48,4,200.905198,1172.388000,1.000000
CometBFT-light,cometbft-light,48,5,201.459855,1346.138000,1.000000
